,id,imte1,imte2,imte3,imte4,imte5,safeinform,skillmat,wsituation1,wsituation2,wsituation3,wsituation4,wsituation5,wsituation11,wsituation6,wsituation7,wsituation,wsituation.1,wsituation10,wsituation12,wsituation13,wsituation14,wstat1,wstat2,wstat3,wstat4,wstat5,wstat6,wstat7,emo_manual,asb5,asb6,asb7,disc1,disc5,disc,disc10,disc11,disc6,disc7,disc.1,disc2,disc3,disc4,wtime_con1,wday,wday_week,ctime,wtime_night_a,wtime_sun_a,wtime_sat_a,wtime_long_a,wtime_night2,wtime_night3
15,1000164_1,3.0,2.0,4.0,4.0,3.0,2.0,2.0,1,2,7.0,7.0,7.0,2.0,2.0,3.0,1,2,2,3,4.0,4,2.0,1.0,2,5,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1,5,40.0,0.0,0.0,0.0,0.0,2,2
16,1000176_1,3.0,4.0,4.0,3.0,3.0,2.0,2.0,2,2,1.0,3.0,2.0,2.0,2.0,3.0,1,3,2,4,4.0,4,2.0,1.0,3,2,2.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1,5,60.0,0.0,0.0,0.0,0.0,2,2
17,1000176_2,2.0,3.0,3.0,3.0,4.0,2.0,2.0,2,1,3.0,3.0,2.0,3.0,1.0,2.0,1,1,1,4,4.0,3,2.0,2.0,1,5,2.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1,5,70.0,0.0,0.0,0.0,0.0,2,2
18,1000180_1,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2,2,2.0,3.0,3.0,3.0,2.0,2.0,2,2,2,1,1.0,1,3.0,3.0,2,2,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,5,60.0,0.0,0.0,0.0,0.0,2,2
19,1000183_1,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2,2,3.0,3.0,3.0,3.0,3.0,2.0,2,2,3,3,2.0,2,3.0,3.0,2,2,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,5,60.0,0.0,0.0,0.0,0.0,2,2
20,1000183_2,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3,3,3.0,3.0,2.0,2.0,3.0,3.0,3,3,3,1,1.0,2,3.0,2.0,3,2,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,6,40.0,0.0,0.0,1.0,0.0,2,2
21,1000250_1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,2.0,3.0,3.0,3.0,2.0,2.0,2,3,2,1,1.0,2,2.0,2.0,2,3,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,5,60.0,0.0,0.0,0.0,0.0,2,2
22,1000250_2,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2,2,2.0,3.0,3.0,3.0,3.0,2.0,2,2,1,1,1.0,1,2.0,2.0,2,3,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,5,0.0,0.0,0.0,0.0,0.0,2,2
23,1000287_1,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3,3,3.0,3.0,2.0,3.0,2.0,3.0,2,2,2,1,1.0,1,2.0,2.0,2,2,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,5,40.0,0.0,0.0,0.0,0.0,2,2
24,1000304_1,1.0,2.0,1.0,2.0,2.0,2.0,3.0,2,2,2.0,2.0,2.0,1.0,2.0,2.0,1,2,2,2,1.0,2,2.0,2.0,1,2,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,2.0,1,6,10.0,0.0,0.0,1.0,0.0,2,2
25,1000305_1,3.0,1.0,1.0,2.0,3.0,2.0,3.0,2,1,2.0,4.0,3.0,2.0,4.0,3.0,2,1,2,3,2.0,3,3.0,2.0,2,3,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,2.0,1,6,30.0,0.0,0.0,1.0,0.0,2,2
